Request Number,Latency (ms)
1,71.96402549743652
2,71.99859619140625
3,67.17944145202637
4,87.30721473693848
5,61.49864196777344
6,59.792518615722656
7,66.94746017456055
8,67.12579727172852
9,69.13208961486816
10,59.2350959777832
11,68.77565383911133
12,66.85161590576172
13,59.706687927246094
14,64.788818359375
15,70.52421569824219
16,62.4241828918457
17,58.24446678161621
18,60.817718505859375
19,67.03519821166992
20,100.71349143981934
21,69.13971900939941
22,81.73465728759766
23,77.39567756652832
24,64.1012191772461
25,98.78063201904297
26,66.94364547729492
27,62.05344200134277
28,66.6649341583252
29,60.088396072387695
30,67.00968742370605
31,62.05892562866211
32,61.23971939086914
33,65.86146354675293
34,61.647653579711914
35,65.77944755554199
36,61.325788497924805
37,59.79585647583008
38,60.30154228210449
39,60.370683670043945
40,61.07616424560547
41,61.19799613952637
42,59.96870994567871
43,74.39041137695312
44,60.55045127868652
45,61.73896789550781
46,74.69940185546875
47,66.62487983703613
48,66.73479080200195
49,61.84792518615723
50,58.0446720123291
51,69.95725631713867
52,62.9422664642334
53,67.76714324951172
54,69.19407844543457
55,68.3906078338623
56,60.20402908325195
57,60.73808670043945
58,61.83171272277832
59,58.78329277038574
60,60.07122993469238
61,82.49592781066895
62,66.12420082092285
63,74.03039932250977
64,54.06975746154785
65,66.98012351989746
66,60.87088584899902
67,61.0651969909668
68,64.39352035522461
69,50.0791072845459
70,60.60194969177246
71,59.73458290100098
72,60.846567153930664
73,55.445194244384766
74,59.29088592529297
75,63.43388557434082
76,63.81511688232422
77,60.52565574645996
78,60.42838096618652
79,61.31267547607422
80,59.64326858520508
81,62.04819679260254
82,65.97542762756348
83,1078.5868167877197
84,63.810110092163086
85,63.23432922363281
86,68.1924819946289
87,60.04047393798828
88,67.38686561584473
89,60.53042411804199
90,60.97269058227539
91,60.91809272766113
92,59.93366241455078
93,59.92436408996582
94,61.028480529785156
95,60.72831153869629
96,65.3543472290039
97,62.78634071350098
98,60.066938400268555
99,62.11686134338379
100,61.13481521606445
